Station,Habichtstraße,Habichtstraße
Komponente,PM10,PM2,5
Einheit,µg/m³,µg/m³
Messzeit,24-Stundenwerte (gleitend),24-Stundenwerte (gleitend)

11.01.2016 00:00,25,18
10.01.2016 23:00,25,19
10.01.2016 22:00,26,19
10.01.2016 21:00,26,19
10.01.2016 20:00,26,19
10.01.2016 19:00,27,19
10.01.2016 18:00,27,19
10.01.2016 17:00,27,19
10.01.2016 16:00,27,19
10.01.2016 15:00,27,19
10.01.2016 14:00,26,19
10.01.2016 13:00,26,18
10.01.2016 12:00,26,18
10.01.2016 11:00,26,17
10.01.2016 10:00,25,17
10.01.2016 09:00,25,16
10.01.2016 08:00,24,16
10.01.2016 07:00,24,15
10.01.2016 06:00,23,14
10.01.2016 05:00,23,14
10.01.2016 04:00,23,14
10.01.2016 03:00,22,13
10.01.2016 02:00,22,13
10.01.2016 01:00,21,12
10.01.2016 00:00,21,12
09.01.2016 23:00,21,12
09.01.2016 22:00,21,12
09.01.2016 21:00,21,12
09.01.2016 20:00,21,12
09.01.2016 19:00,20,11
09.01.2016 18:00,20,11
09.01.2016 17:00,20,11
09.01.2016 16:00,20,12
09.01.2016 15:00,20,12
09.01.2016 14:00,20,12
09.01.2016 13:00,20,12
09.01.2016 12:00,20,12
09.01.2016 11:00,19,11
09.01.2016 10:00,19,11
09.01.2016 09:00,18,11
09.01.2016 08:00,18,10
09.01.2016 07:00,17,10
09.01.2016 06:00,17,10
09.01.2016 05:00,16,10
09.01.2016 04:00,16,10
09.01.2016 03:00,17,11
09.01.2016 02:00,19,13
09.01.2016 01:00,20,14
09.01.2016 00:00,22,16
08.01.2016 23:00,24,18
08.01.2016 22:00,26,20
08.01.2016 21:00,28,23
08.01.2016 20:00,31,25
08.01.2016 19:00,34,28
08.01.2016 18:00,37,31
08.01.2016 17:00,40,33
08.01.2016 16:00,43,36
08.01.2016 15:00,46,39
08.01.2016 14:00,50,42
08.01.2016 13:00,54,46
08.01.2016 12:00,59,50
08.01.2016 11:00,63,54
08.01.2016 10:00,67,57
08.01.2016 09:00,71,61
08.01.2016 08:00,74,64
08.01.2016 07:00,78,67
08.01.2016 06:00,81,70
08.01.2016 05:00,84,73
08.01.2016 04:00,87,76
08.01.2016 03:00,89,77
08.01.2016 02:00,90,78
08.01.2016 01:00,91,78
08.01.2016 00:00,91,78
07.01.2016 23:00,91,77
07.01.2016 22:00,90,76
07.01.2016 21:00,88,74
07.01.2016 20:00,86,72
07.01.2016 19:00,83,70
07.01.2016 18:00,81,68
07.01.2016 17:00,79,66
07.01.2016 16:00,77,64
07.01.2016 15:00,74,61
07.01.2016 14:00,72,59
07.01.2016 13:00,69,57
07.01.2016 12:00,66,54
07.01.2016 11:00,63,52
07.01.2016 10:00,61,49
07.01.2016 09:00,59,47
07.01.2016 08:00,57,46
07.01.2016 07:00,56,45
07.01.2016 06:00,55,44
07.01.2016 05:00,54,43
07.01.2016 04:00,53,42
07.01.2016 03:00,51,41
07.01.2016 02:00,50,41
07.01.2016 01:00,49,40
07.01.2016 00:00,48,40
06.01.2016 23:00,47,39
06.01.2016 22:00,46,39
06.01.2016 21:00,46,39
06.01.2016 20:00,46,39
06.01.2016 19:00,46,39
06.01.2016 18:00,46,40
06.01.2016 17:00,47,40
06.01.2016 16:00,47,41
06.01.2016 15:00,47,41
06.01.2016 14:00,47,41
06.01.2016 13:00,47,42
06.01.2016 12:00,48,42
06.01.2016 11:00,48,43
06.01.2016 10:00,49,43
06.01.2016 09:00,49,44
06.01.2016 08:00,50,44
06.01.2016 07:00,50,44
06.01.2016 06:00,50,44
06.01.2016 05:00,50,44
06.01.2016 04:00,49,44
06.01.2016 03:00,50,44
06.01.2016 02:00,50,44
06.01.2016 01:00,50,44
06.01.2016 00:00,50,44
05.01.2016 23:00,50,44
05.01.2016 22:00,51,45
05.01.2016 21:00,52,45
05.01.2016 20:00,52,46
05.01.2016 19:00,53,46
05.01.2016 18:00,53,46
05.01.2016 17:00,53,46
05.01.2016 16:00,54,47
05.01.2016 15:00,54,47
05.01.2016 14:00,54,47
05.01.2016 13:00,54,47
05.01.2016 12:00,54,47
05.01.2016 11:00,54,47
05.01.2016 10:00,53,46
05.01.2016 09:00,53,46
05.01.2016 08:00,52,46
05.01.2016 07:00,52,46
05.01.2016 06:00,51,45
05.01.2016 05:00,51,45
05.01.2016 04:00,50,45
05.01.2016 03:00,50,44
05.01.2016 02:00,50,44
05.01.2016 01:00,49,44
05.01.2016 00:00,49,44
04.01.2016 23:00,49,44
04.01.2016 22:00,49,43
04.01.2016 21:00,48,43
04.01.2016 20:00,48,43
04.01.2016 19:00,47,42
04.01.2016 18:00,47,42
04.01.2016 17:00,46,42
04.01.2016 16:00,45,41
04.01.2016 15:00,45,41
04.01.2016 14:00,44,40
04.01.2016 13:00,44,40
04.01.2016 12:00,43,39
04.01.2016 11:00,43,39
04.01.2016 10:00,42,38
04.01.2016 09:00,42,38
04.01.2016 08:00,41,37
04.01.2016 07:00,41,36
04.01.2016 06:00,40,36
04.01.2016 05:00,39,35
04.01.2016 04:00,39,34
04.01.2016 03:00,38,34
04.01.2016 02:00,37,33
04.01.2016 01:00,37,32
04.01.2016 00:00,36,31
